"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Different house in United States 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total!!Abroad 1 year ago","Margin of Error!!Total!!Abroad 1 year ago"
"0400000US27","Minnesota","4236741","1323","3605350","9387","606768","9110","462965","7614","199720","5009","263245","5478","103679","2737","52810","2442","50869","1917","24793","1675","13838","1217","10955","985","15331","978","24623","1897"
"0400000US28","Mississippi","1363330","919","1150953","6569","208405","6427","142597","5980","57700","3230","84897","4290","41653","2515","17077","1407","24576","1993","14733","1480","7863","1165","6870","917","9422","1082","3972","691"
"0400000US29","Missouri","4492198","1607","3804648","9707","671462","9817","504190","8680","194402","4867","309788","7172","120667","3245","60280","2295","60387","2468","24811","1655","12798","1122","12013","1081","21794","1204","16088","1229"
"0400000US30","Montana","362926","378","300248","2308","61269","2239","37192","1754","29125","1667","8067","872","12010","821","6799","686","5211","504","4692","759","2974","604","1718","423","7375","828","1409","293"
"0400000US31","Nebraska","1221069","713","1008524","5110","204544","4937","146101","4155","109109","3484","36992","1815","40388","2062","21566","1464","18822","1471","9799","1000","6123","805","3676","610","8256","867","8001","897"
"0400000US32","Nevada","2620385","1099","2128352","7861","477054","7330","346448","6089","221004","5595","125444","4220","114462","4323","58542","3140","55920","2649","12151","1322","5682","932","6469","794","3993","650","14979","1301"
"0400000US33","New Hampshire","836352","541","715791","3457","115715","3374","76677","2996","24866","1895","51811","2239","30530","1836","8587","935","21943","1547","7429","885","2497","466","4932","785","1079","314","4846","859"
"0400000US34","New Jersey","8786172","2153","7894929","9861","824733","9169","670363","8701","146963","4700","523400","8185","149114","4254","50845","2537","98269","3613","4069","582","1429","310","2640","518","1187","319","66510","2777"
"0400000US35","New Mexico","1386289","1007","1197951","5042","182608","4920","122838","4581","87656","3392","35182","2733","44798","2133","25659","1616","19139","1200","12096","1354","6919","1121","5177","873","2876","543","5730","898"
"0400000US36","New York","18035063","3482","16160438","15705","1730153","14291","1378871","12812","825846","10526","553025","7158","309465","4729","149445","3100","160020","3484","28583","1622","8834","805","19749","1318","13234","1135","144472","3870"
"0400000US37","North Carolina","7858289","2017","6588308","12576","1224233","12573","757451","10792","410767","8413","346684","7457","392253","6484","171409","4084","220844","5058","54749","2653","18873","1511","35876","2059","19780","1475","45748","2210"
"0400000US38","North Dakota","369864","444","293203","2789","74846","2743","46115","2495","33667","2242","12448","1251","17033","1625","8699","1413","8334","802","5270","707","3354","635","1916","405","6428","870","1815","398"
"0400000US39","Ohio","9174774","2169","7781625","14087","1352964","14030","1018061","13084","427651","8507","590410","9193","265826","5078","104746","3189","161080","3961","54901","2108","21381","1521","33520","1643","14176","1347","40185","1872"
"0400000US40","Oklahoma","2602285","973","2137668","6718","451985","6578","330373","5705","174725","4454","155648","2957","82090","2724","40632","1752","41458","1890","24713","1488","15755","1085","8958","849","14809","1228","12632","1106"
"0400000US41","Oregon","3384451","1144","2779570","8770","583223","8462","399344","6635","218880","5348","180464","4720","157289","4261","82579","3483","74710","2896","19885","1443","9180","1016","10705","1137","6705","921","21658","1640"
