"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Different house in United States 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total!!Abroad 1 year ago","Margin of Error!!Total!!Abroad 1 year ago"
"0400000US08","Colorado","4926955","3556","4020065","23558","870458","23670","537702","18555","313913","15896","223789","10501","290600","13860","137553","9983","153047","9533","25397","3367","13495","2223","11902","2611","16759","3561","36432","4567"
"0400000US18","Indiana","5170294","6362","4352571","25845","788570","23199","565023","19755","304431","16524","260592","13444","173798","11241","76834","6335","96964","7940","32347","3818","13127","2768","19220","3028","17402","3457","29153","5214"
"0400000US21","Kentucky","2602088","4920","2166285","14647","425231","14317","308452","12429","156240","9036","152212","9902","80598","7585","39508","5099","41090","5362","21811","3719","10111","2712","11700","2961","14370","2511","10572","2407"
"0400000US22","Louisiana","3860734","4023","3387298","18554","462226","18180","339171","16937","159713","13033","179458","13855","100058","7588","51517","4839","48541","6317","15200","3390","6381","1823","8819","2734","7797","1891","11210","2585"
"0400000US17","Illinois","11157273","5219","9767866","27251","1324554","26289","1054874","25633","488362","18300","566512","20833","228283","10502","118222","7778","110061","6864","28639","3878","14238","2679","14401","2831","12758","2449","64853","6379"
"0400000US19","Iowa","1867639","2228","1559014","12173","301509","12246","201512","10521","125832","8078","75680","7278","68561","5322","32951","4160","35610","3628","15014","2583","8973","1866","6041","1595","16422","2245","7116","2300"
"0400000US33","New Hampshire","846720","1367","735892","8056","106233","7965","67879","7094","21500","4291","46379","5697","29024","3913","6181","1521","22843","3496","8492","2505","1813","657","6679","2371","838","497","4595","1418"
"0400000US05","Arkansas","1865967","4965","1590855","14306","268252","13595","180137","10853","103459","8906","76678","6511","57662","7197","24863","4072","32799","5980","14173","2843","5950","1563","8223","2201","16280","3829","6860","2420"
"0400000US10","Delaware","958770","1413","853523","7519","102435","7332","68434","6483","17189","3567","51245","5650","31540","3227","9362","2181","22178","2568","1911","1318","1443","1148","468","349","550","451","2812","957"
"0400000US27","Minnesota","4313558","3175","3696308","16574","595314","16504","459370","15282","206188","9912","253182","13509","98211","6271","52508","4758","45703","4650","23589","3405","12829","2431","10760","2311","14144","2152","21936","2887"
"0400000US30","Montana","368810","1460","305247","6071","62099","5564","33859","3726","26848","3558","7011","2097","14624","2740","8223","2242","6401","1903","6423","2450","4464","2130","1959","1086","7193","1728","1464","835"
"0400000US23","Maine","785211","1492","670770","6576","111911","6517","73261","6213","24832","3649","48429","5625","28416","3914","10126","2085","18290","3139","2779","889","1118","578","1661","809","7455","1927","2530","826"
"0400000US37","North Carolina","8078480","5638","6795168","32796","1235977","32144","743020","26962","401648","17322","341372","19595","419707","14334","184647","10085","235060","12285","53309","4714","19205","2936","34104","4015","19941","3330","47335","5583"
"0400000US13","Georgia","8631726","9042","7371778","31720","1212767","30380","830141","29422","243622","15385","586519","26674","323218","14822","143520","11110","179698","10289","37481","5301","18008","3946","19473","3036","21927","2581","47181","6456"
"0400000US02","Alaska","490934","1119","406595","6664","80297","6615","50678","4838","37330","4130","13348","2574","20573","3588","10673","2286","9900","2605","3778","1595","1894","981","1884","1250","5268","1848","4042","1769"
"0400000US01","Alabama","3708296","4838","3173482","18064","523177","18456","351869","15275","170840","10330","181029","12690","133540","10574","61039","6145","72501","6949","25164","3884","9595","2039","15569","3105","12604","2514","11637","2943"
"0400000US50","Vermont","218848","882","182124","4076","35101","4000","20712","3120","9006","2465","11706","2163","9816","2201","2478","972","7338","2106","1540","925","188","177","1352","914","3033","1307","1623","874"
"0400000US32","Nevada","2729932","2823","2260661","18528","455388","17978","322144","15918","202987","12704","119157","9145","117972","8614","61919","6292","56053","6148","12244","3636","4926","2172","7318","3027","3028","1381","13883","2796"
"0400000US54","West Virginia","1113944","4717","984833","9200","127951","7259","78590","6698","24249","3414","54341","6253","35143","3700","11652","2532","23491","2650","8645","2252","3854","1691","4791","1367","5573","1684","1160","523"
"0400000US40","Oklahoma","2635479","2791","2162686","17075","461051","16939","343030","15351","183117","11269","159913","9324","81201","6336","39631","4459","41570","5055","22955","3224","12862","2244","10093","2250","13865","2396","11742","2716"
"0400000US55","Wisconsin","4263359","3056","3650419","18031","599061","17649","413893","16036","218132","11031","195761","10910","137952","8047","61046","5517","76906","5228","31765","3705","11989","2003","19776","3160","15451","2241","13879","2303"
"0400000US72","Puerto Rico","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0400000US51","Virginia","7394548","8600","6222388","28395","1113933","30440","752694","26245","297743","14982","454951","21010","314915","12337","114252","8046","200663","10204","21582","4212","10538","3258","11044","2485","24742","3810","58227","5868"
"0400000US38","North Dakota","379443","1145","308256","5828","69341","5519","43979","4686","28814","3609","15165","3159","16638","3327","8305","2604","8333","1942","3738","1309","2143","1205","1595","568","4986","1241","1846","851"
"0400000US45","South Carolina","4292214","4595","3646770","19854","624623","19776","376252","14405","108564","9261","267688","14064","208571","10494","68935","7304","139636","8301","21382","3738","5374","1571","16008","3552","18418","5007","20821","4540"
"0400000US41","Oregon","3483987","2548","2885169","18024","581517","17811","397691","15809","218594","12170","179097","11770","157047","8600","86402","6591","70645","5312","20257","3563","9709","2300","10548","3125","6522","1563","17301","2930"
"0400000US56","Wyoming","176066","686","149890","4365","25270","4047","13323","2871","10218","2542","3105","1333","5640","1903","1755","719","3885","1816","3549","1325","2612","1169","937","566","2758","1450","906","758"
"0400000US06","California","38285481","10899","33529709","55748","4468929","54093","3159445","45158","1695509","34487","1463936","28752","1244476","29067","629096","21299","615380","20228","47931","5581","21361","3114","26570","4871","17077","2309","286843","13256"
"0400000US28","Mississippi","1378036","4982","1173214","13531","201078","12488","137368","11514","52619","7775","84749","9302","42472","5781","15087","3184","27385","4959","13479","3048","7394","2661","6085","1797","7759","2296","3744","1535"
"0400000US09","Connecticut","3358033","3027","2936878","16496","390862","15981","251777","13473","107525","9384","144252","9499","129949","8201","48461","4823","81488","6306","8504","2297","1671","940","6833","2006","632","388","30293","5328"
