"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Different house in United States 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total!!Abroad 1 year ago","Margin of Error!!Total!!Abroad 1 year ago"
"0400000US01","Alabama","3627000","1292","3060380","9659","554506","9238","385816","7798","192112","5339","193704","5473","129529","4038","56780","2427","72749","3182","20552","1835","9200","999","11352","1335","18609","1358","12114","1224"
"0400000US02","Alaska","487725","478","389076","3219","94896","3207","60657","2933","44994","2636","15663","1358","23281","1841","10714","1136","12567","1383","4173","700","1802","392","2371","607","6785","1056","3753","559"
"0400000US04","Arizona","6218979","1558","5036937","11549","1138342","11897","832649","11000","513635","8145","319014","8286","263436","4912","122843","3168","140593","3989","27707","1999","12019","1502","15688","1320","14550","1427","43700","2229"
"0400000US05","Arkansas","1784824","995","1486035","6946","291753","6921","210749","5254","121450","4459","89299","3517","51468","2411","26541","1717","24927","1689","15400","1602","8269","1233","7131","1091","14136","1191","7036","788"
"0400000US06","California","37130913","4532","31653330","30173","5187936","29607","3918268","28725","2024927","18072","1893341","19256","1196079","10414","614717","8488","581362","8145","51070","2391","24041","1954","27029","1564","22519","1573","289647","5627"
"0400000US08","Colorado","4533234","1433","3650469","12128","849760","11616","563928","9714","330141","6497","233787","6573","242789","5180","114183","3651","128606","3672","27451","1772","14827","1311","12624","954","15592","1208","33005","1835"
"0400000US09","Connecticut","3373458","1091","2956699","6594","392036","6421","265936","5377","107519","3465","158417","4176","117079","3244","48642","2296","68437","2556","7929","1028","2210","406","5719","916","1092","230","24723","1622"
"0400000US10","Delaware","915961","654","792877","3402","118482","3186","81888","2771","17153","1219","64735","2794","34829","1810","11349","1279","23480","1375","1174","328","563","267","611","217","591","165","4602","651"
"0400000US11","District of Columbia","638690","636","510368","3124","118520","2931","83823","2380","72470","2359","11353","1114","32617","1797","18670","1351","13947","1079","1315","320","776","236","539","189","765","201","9802","941"
