"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Same house 1 year ago","Margin of Error!!Total:!!Same house 1 year ago","Estimate!!Total:!!Different house in United States 1 year ago:","Margin of Error!!Total:!!Different house in United States 1 year ago:","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from principal city","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from principal city","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from principal city","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from principal city","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from principal city","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from principal city","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total:!!Abroad 1 year ago","Margin of Error!!Total:!!Abroad 1 year ago"
"0400000US01","Alabama","3652319","1431","3119330","8397","521054","8358","350074","7029","177581","5323","172493","5188","134318","3996","60307","2795","74011","3137","23687","1592","9608","1023","14079","1079","12975","1269","11935","1200"
"0400000US02","Alaska","490868","547","398492","3525","88472","3559","60297","3138","45158","2729","15139","1352","20682","1452","10564","1176","10118","779","2651","412","1299","298","1352","343","4842","929","3904","557"
"0400000US04","Arizona","6625310","2243","5456651","13044","1123775","12409","790097","11788","526474","8406","263623","7750","295069","5786","143737","3992","151332","4263","27060","1939","11495","1402","15565","1326","11549","1311","44884","2335"
"0400000US05","Arkansas","1861380","1188","1570469","6345","284221","6231","195014","6111","108980","4713","86034","3883","57596","2891","28149","1845","29447","1966","16783","1701","8317","1173","8466","1142","14828","1401","6690","935"
"0400000US06","California","38007787","4258","33137727","26949","4561071","25537","3269913","25703","1706436","18309","1563477","16516","1225551","12154","628783","7343","596768","8598","47358","2140","21751","1443","25607","1547","18249","1731","308989","5577"
"0400000US08","Colorado","4849324","1722","3954066","10964","864524","10766","544281","8213","335279","6699","209002","5461","279366","6871","135525","4387","143841","4719","26988","1837","15518","1429","11470","1191","13889","1359","30734","1988"
"0400000US09","Connecticut","3360670","1235","2950805","7887","383374","7708","254124","6617","100394","3793","153730","5316","121155","3401","48276","2017","72879","2790","7064","904","1924","444","5140","707","1031","289","26491","1529"
"0400000US10","Delaware","947678","655","828164","3558","115393","3437","77263","2847","18490","1509","58773","2590","36005","1844","10757","1073","25248","1615","1215","406","677","307","538","232","910","298","4121","672"
"0400000US11","District of Columbia","683716","681","550292","3199","123136","2984","85118","2701","73205","2584","11913","1194","36232","1871","19856","1190","16376","1160","1220","279","623","187","597","191","566","159","10288","1070"
