"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Different house in United States 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total!!Abroad 1 year ago","Margin of Error!!Total!!Abroad 1 year ago"
"0400000US01","Alabama","3643226","1465","3082896","8996","548103","8995","379829","8061","189321","5411","190508","5299","129235","3791","57691","2201","71544","2872","23434","1756","10475","1186","12959","1322","15605","1290","12227","987"
"0400000US02","Alaska","490937","502","393178","3483","93702","3561","61354","3080","45872","2752","15482","1443","22206","1622","11168","1102","11038","1016","3688","714","1543","453","2145","498","6454","871","4057","607"
"0400000US04","Arizona","6304701","1890","5129415","12428","1129986","12276","813549","10856","503942","8228","309607","7267","274365","6044","126616","4158","147749","4608","29338","2420","12960","1586","16378","1573","12734","1343","45300","2331"
"0400000US05","Arkansas","1798597","1046","1505587","6708","286025","6418","204854","5839","116188","4831","88666","3913","51558","2567","25761","1572","25797","1782","16591","1757","8834","1106","7757","1271","13022","1283","6985","850"
"0400000US06","California","37367442","4815","32047764","32025","5016328","30604","3734415","28428","1930948","17717","1803467","18320","1209962","12185","623779","9125","586183","8528","51449","2062","24071","1721","27378","1871","20502","1469","303350","6678"
"0400000US08","Colorado","4611920","1312","3722026","10244","858012","10275","565398","8940","331523","6799","233875","6023","250526","4971","117468","3240","133058","4116","27911","1477","14518","1150","13393","969","14177","1202","31882","2069"
"0400000US09","Connecticut","3370041","1181","2952504","7778","392119","7661","265423","6211","109621","4273","155802","4191","118434","3345","48383","2187","70051","2533","7197","745","1993","400","5204","683","1065","249","25418","1973"
"0400000US10","Delaware","924378","597","801363","3603","118327","3575","81985","2886","17830","1270","64155","2369","34450","1968","11393","1230","23057","1364","1231","316","558","260","673","191","661","246","4688","511"
"0400000US11","District of Columbia","649524","689","518081","3223","121134","2973","84226","2781","72749","2724","11477","874","34816","1668","19253","1209","15563","978","1387","292","774","218","613","213","705","158","10309","839"
"0400000US12","Florida","19028427","3580","15964368","20525","2872298","20856","1959722","18950","773181","12116","1186541","15149","817683","11353","315011","6539","502672","8890","57903","2466","23372","1851","34531","2001","36990","2166","191761","4541"
"0400000US13","Georgia","8220726","2563","6868585","14590","1300265","14015","923004","12480","288150","6181","634854","11271","312056","7092","150948","5181","161108","4726","41077","2447","20837","1922","20240","1441","24128","1728","51876","2673"
"0400000US15","Hawaii","1134672","780","966057","3981","153918","3542","102543","3023","40383","1947","62160","2293","45254","1746","21648","1350","23606","1362","5199","640","1666","350","3533","553","922","281","14697","1275"
"0400000US16","Idaho","1074066","876","889363","5137","180381","5136","120735","4138","55693","2518","65042","3343","39564","2172","19177","1624","20387","1525","14213","1480","7660","1053","6553","1043","5869","832","4322","736"
"0400000US17","Illinois","11222433","2367","9732469","14200","1425150","13797","1148487","13552","541063","8188","607424","10488","230941","4584","113841","3351","117100","3088","30194","1780","14206","1128","15988","1312","15528","1164","64814","2449"
"0400000US18","Indiana","5057077","1757","4270205","9592","764371","9618","555472","8574","310027","6307","245445","5208","159007","3889","74572","2709","84435","2948","32979","1859","15435","1659","17544","1104","16913","1284","22501","1803"
"0400000US19","Iowa","1797708","929","1488458","6196","300295","6072","201289","4897","130411","3929","70878","3171","67576","2435","36113","2106","31463","1464","15147","1348","8232","841","6915","906","16283","1264","8955","1032"
"0400000US20","Kansas","1926761","1069","1603934","5975","311152","5852","222978","5066","134091","3814","88887","3332","65057","2606","34038","1768","31019","2015","15292","963","10537","902","4755","732","7825","789","11675","1233"
"0400000US21","Kentucky","2541845","1133","2109607","6842","417760","6822","296358","6308","148593","3998","147765","4284","84089","2670","37481","2009","46608","2174","19888","1522","8453","897","11435","1166","17425","1349","14478","1134"
"0400000US22","Louisiana","3831031","1458","3310447","9343","507419","9355","369008","8553","168127","5553","200881","6375","109837","3826","49865","2563","59972","2807","17274","1454","7695","893","9579","1109","11300","1345","13165","1276"
"0400000US23","Maine","776815","481","662577","3098","111224","3180","73321","2699","26741","1534","46580","2302","25610","1343","9104","1009","16506","1188","4034","698","1181","244","2853","674","8259","836","3014","529"
"0400000US24","Maryland","5740129","1600","4963636","9291","731662","9158","541918","8742","187124","5172","354794","6819","176026","4387","66461","2664","109565","3382","8102","936","3930","656","4172","626","5616","908","44831","2199"
