"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Same house 1 year ago","Margin of Error!!Total:!!Same house 1 year ago","Estimate!!Total:!!Different house in United States 1 year ago:","Margin of Error!!Total:!!Different house in United States 1 year ago:","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from principal city","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from principal city","Estimate!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Same Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from principal city","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from principal city","Estimate!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Different Metropolitan Statistical Area:!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from principal city","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from principal city","Estimate!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Micropolitan Statistical Area:!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total:!!Different house in United States 1 year ago:!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total:!!Abroad 1 year ago","Margin of Error!!Total:!!Abroad 1 year ago"
"0400000US01","Alabama","3684506","5184","3152779","19565","520592","18243","352773","15909","174418","13310","178355","11902","130155","7474","58998","5082","71157","7303","22768","3607","10436","2615","12332","2730","14896","4721","11135","2376"
"0400000US02","Alaska","486496","1178","404791","7099","78109","6739","47792","5677","32628","4815","15164","3257","24500","3699","10126","2476","14374","2929","2579","1566","1592","1272","987","867","3238","1282","3596","1716"
"0400000US04","Arizona","6851573","6065","5730444","31991","1075809","28961","748241","25680","507901","21892","240340","14627","285748","12080","143876","8780","141872","8695","26875","4287","10582","2684","16293","3004","14945","4448","45320","6247"
"0400000US05","Arkansas","1896193","3501","1627787","12705","262056","11632","178776","9946","95225","7764","83551","6694","54178","5827","27338","4643","26840","4646","16022","3268","8216","2475","7806","2412","13080","3232","6350","2433"
"0400000US06","California","38255080","10850","33677172","68469","4312929","67145","3065766","50244","1613682","33115","1452084","39019","1188254","29933","605576","19724","582678","22890","41852","4293","19150","3217","22702","3440","17057","2411","264979","12313"
"0400000US08","Colorado","4992213","4033","4081289","22313","886585","22938","549348","19167","333831","15627","215517","12228","298612","14767","151709","11866","146903","8984","26416","5038","13820","3296","12596","3394","12209","3155","24339","3635"
"0400000US09","Connecticut","3352576","2598","2946422","19176","377165","17393","245437","15085","86239","8833","159198","11860","125282","8891","47627","5666","77655","7232","5263","1517","1236","582","4027","1266","1183","777","28989","5149"
"0400000US10","Delaware","964817","1555","843383","9324","117200","9313","75515","6435","17951","3390","57564","5719","39336","6203","9617","2362","29719","5626","1358","866","1162","842","196","229","991","790","4234","1392"
"0400000US11","District of Columbia","697556","1657","563798","6607","123772","6530","83412","6706","70692","5988","12720","2882","38312","3873","20485","2910","17827","2658","1521","777","822","683","699","456","527","460","9986","2121"
