"GEO_ID","NAME","B07201_001E","B07201_001M","B07201_002E","B07201_002M","B07201_003E","B07201_003M","B07201_004E","B07201_004M","B07201_005E","B07201_005M","B07201_006E","B07201_006M","B07201_007E","B07201_007M","B07201_008E","B07201_008M","B07201_009E","B07201_009M","B07201_010E","B07201_010M","B07201_011E","B07201_011M","B07201_012E","B07201_012M","B07201_013E","B07201_013M","B07201_014E","B07201_014M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Different house in United States 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Same Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Different Metropolitan Statistical Area!!Moved from remainder of Metropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from principal city","Estimate!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Margin of Error!!Total!!Different house in United States 1 year ago!!Micropolitan Statistical Area!!Moved from remainder of Micropolitan Statistical Area","Estimate!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Margin of Error!!Total!!Different house in United States 1 year ago!!Not in a Metropolitan or Micropolitan Statistical Area 1 year ago","Estimate!!Total!!Abroad 1 year ago","Margin of Error!!Total!!Abroad 1 year ago"
"0400000US06","California","36070547","10937","30095060","73004","5719545","73489","4473487","63568","2505074","39812","1968413","47445","1166866","32897","605955","21752","560911","22706","58499","5753","26162","3818","32337","4994","20693","3592","255942","12870"
"0400000US01","Alabama","3381934","4505","2839940","17553","531217","16879","378545","15385","193400","12772","185145","13466","111817","8407","50473","5871","61344","6293","29776","3840","11530","2417","18246","3569","11079","2584","10777","2034"
"0400000US02","Alaska","473280","1415","374359","6897","94054","7139","58020","6295","41919","5806","16101","3178","25338","3469","10750","2455","14588","2679","2916","871","1304","647","1612","824","7780","2466","4867","1548"
"0400000US04","Arizona","5860588","4403","4665635","32896","1158322","33172","878072","31050","558978","25443","319094","18427","234510","11628","114103","7658","120407","9068","33828","5017","14424","3263","19404","3681","11912","2859","36631","5725"
"0400000US05","Arkansas","1739670","5231","1401769","17089","330973","17452","236119","14400","135033","9627","101086","9008","62187","7656","33907","5274","28280","4786","12350","3280","8739","2958","3611","1366","20317","4017","6928","2003"
"0400000US08","Colorado","4310954","4447","3471336","23822","806432","22880","552168","20822","309746","15343","242422","14142","210164","9875","104493","7323","105671","8028","22808","3788","10943","2477","11865","2981","21292","3754","33186","4177"
"0400000US09","Connecticut","3235283","2571","2823976","15335","391961","15361","267663","12732","119719","8997","147944","9783","112060","8226","49273","5820","62787","5676","10424","2267","3460","1260","6964","1722","1814","1437","19346","2866"
"0400000US10","Delaware","694174","1433","591309","8115","98862","8030","74010","7784","21493","3854","52517","6827","21805","3087","6445","1570","15360","2748","2281","1002","343","245","1938","927","766","861","4003","1818"
"0400000US11","District of Columbia","596747","1124","474676","8281","115010","7807","80137","6807","69441","6431","10696","2332","32673","4044","20168","2835","12505","2106","1235","521","699","379","536","383","965","455","7061","1472"
